strategy_code,strategy,include,cb_function,test_id,comparison_id,difference_variable,multiplier,multiplier.unit,annual.change,output_variable_name,output_display_name,sum,natural.multiplier.units,display_notes,internal_notes
INEN:FUEL_SWITCH_LO_HEAT,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT,BASE,energy_consumption_inen_total,-463333,$/PJ,0.8871931,technical_cost,Cost of low temp heat pumps,0,$5/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_LO_HEAT,INEN: Fuel switch low-temp thermal processes to industrial heat pumps,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT,BASE,energy_consumption_inen_total,-83400,$/PJ,1,technical_savings,Maintenance savings of low temp heat pumps,0,$0.90/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_LO_HEAT_REP,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-463333,$/PJ,0.8871931,technical_cost,Cost of low temp heat pumps,0,$5/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_LO_HEAT_REP,INEN: Fuel switch low-temp thermal processes to industrial heat pumps with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_LO_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-83400,$/PJ,1,technical_savings,Maintenance savings of low temp heat pumps,0,$0.90/MWh thermal demand,"Rissman (2022) estimates that heat pumps have a levelized capital cost of $8/MW of thermal heat demand compared to other technologies but that this cost premium is rapidly shrinking, and a $1.50 savings in non-fuel opex, in the US in 2022 dollars. (No discount rate is documented in this report and we use levelized costs as presented).",none
INEN:FUEL_SWITCH_HI_HEAT,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT,BASE,energy_consumption_inen_total,-1.39E+06,$/PJ,1,technical_cost,Cost of high temp heat pumps,0,$15/mwh,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.","Because the model doesn't output thermal demand, we apply the cost to the difference in energy demand, assuming that each PJ of thermal demand that shifts to electricity, 3 fewer PJ of energy are required. Therefore, we apply a 1/3 of the cost to each energy PJ. WE further convert $5/mwh to PJ using the conversion 2.78 x 10^5 MWH/PJ. So delta_PJ * 2.78 MWh/PJ * 1mwhthermal/3PJ * $5/mwhthermal = $463333/PJ"
INEN:FUEL_SWITCH_HI_HEAT,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity,1,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT,BASE,energy_consumption_inen_total,-8.34E+04,$/PJ,1,technical_savings,Maintenance savings of high temp heat pumps and hydrogen,0,$0.90/MWh thermal demand,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.",
INEN:FUEL_SWITCH_HI_HEAT_REP,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-1.39E+06,$/PJ,1,technical_cost,Cost of high temp heat pumps,0,$15/mwh,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.","Because the model doesn't output thermal demand, we apply the cost to the difference in energy demand, assuming that each PJ of thermal demand that shifts to electricity, 3 fewer PJ of energy are required. Therefore, we apply a 1/3 of the cost to each energy PJ. WE further convert $5/mwh to PJ using the conversion 2.78 x 10^5 MWH/PJ. So delta_PJ * 2.78 MWh/PJ * 1mwhthermal/3PJ * $5/mwhthermal = $463333/PJ"
INEN:FUEL_SWITCH_HI_HEAT_REP,INEN: Fuel switch medium and high-temp thermal processes to hydrogen and electricity with renewable energy production,0,cb_difference_between_two_strategies,INEN:FUEL_SWITCH_HI_HEAT_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-8.34E+04,$/PJ,1,technical_savings,Maintenance savings of high temp heat pumps and hydrogen,0,$0.90/MWh thermal demand,"In the absence of other data, we estimate the costs to be triple that of low-temperature heat and equivalent maintenance savings.",
INEN:INC_EFFICIENCY_ENERGY,INEN: Maximize industrial energy efficiency,1,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_ENERGY,BASE,energy_consumption_inen_total,-1.80E+07,$/PJ,1,technical_cost,Cost of energy efficiency,0,$18/GJ,"Talaei et al. (2019, Table 4) and Talaei et al. (2020, Table 6) estimate that the capital cost of increasing energy efficiency of the existing Canadian cement and steel industries, respectively. We use the average cost across interventions in both industries in 2019 dollars (CAD $31/GJ based on CAD$18/GJ for cement in and CAD$44/GJ for steel), adjusted to LAC.",
INEN:INC_EFFICIENCY_ENERGY_REP,INEN: Maximize industrial energy efficiency with renewable energy production,0,cb_difference_between_two_strategies,INEN:INC_EFFICIENCY_ENERGY_REP,ENTC:RENEWABLE_ELEC_TARGET,energy_consumption_inen_total,-1.80E+07,$/PJ,1,technical_cost,Cost of energy efficiency,0,$18/GJ,"Talaei et al. (2019, Table 4) and Talaei et al. (2020, Table 6) estimate that the capital cost of increasing energy efficiency of the existing Canadian cement and steel industries, respectively. We use the average cost across interventions in both industries in 2019 dollars (CAD $31/GJ based on CAD$18/GJ for cement in and CAD$44/GJ for steel), adjusted to LAC.",
