strategy_id,strategy,strategy_code,status,description
0,Baseline NDP,BASE,IGNORE,Base assumptions to which all transformations are applied
1001,AGRC: All transformations,AGRC:ALL,IGNORE,All agricultural transformations
1002,AGRC: Improve crop productivity,AGRC:INC_PRODUCTIVITY,TO DO,Increase crop yield factors by 20%
1003,AGRC: Improve rice management,AGRC:DEC_CH4_RICE,TO DO,Reduce :math:`\text{CH}_4` emissions from rice production by 45% due to improved management and reduced flooding.
1004,AGRC: Reduce supply chain losses,AGRC:DEC_LOSSES_SUPPLY_CHAIN,TO DO,Reduce waste food waste in the agricultural (crop) supply chain (pre-consumer)
1005,FRST: Stop deforestation,FRST:DEC_DEFORESTATION,TO DO,Halt deforestation of primary and secondary forests
1006,LNDU: Expand conservation agriculture,LNDU:DEC_SOC_LOSS,TO DO," | Decrease soil organic carbon loss through cropland and grassland management. 
 | 
 | **Croplands**: Increases :math:`F_{MG}` for ``croplands`` to 1.067 (see V4, Chapter 5, Table 5.5 [2019R] for croplands management factors :math:`F_{MG}` under different management regimes--mean of *No-Till*)
 | **Grasslands**: Increase :math:`F_{MG}` for ``grasslands`` to 1.157 (see V4, Chapter 6, Table 6.2 [2019R] for grasslands management factors :math:`F_{MG}` under different management regimes--mean of *Improved Grassland*)"
1007,LNDU: Expand silvopasture,LNDU:INC_SILVOPASTURE,TO DO,"Increase the use of silvopasture; modeled by shifting 30% of pasture (in final time period) to secondary forests over time; livestock carrying capacities increase to meet the change, while pasture fractions of grassland decrease."
1008,LNDU: Rehabilitate degraded land,LNDU:INC_LAND_REHABILITIATION,TO DO,
1009,LSMM: Improve manure management for cattle and pigs,LSMM:INC_MANAGEMENT_CATTLE_PIGS,TO DO," | 95% of manure from cattle (dairy and non-dairy) and pigs is treated. The manure treated is sent to the following pathways:
 |    37.5% to Anaerobic Digestion
 |    12.5% to Composting
 |    25.0% to Daily Spread
 |    12.5% to Deep Bedding
 |    12.5% to Solid Storage"
1010,LSMM: Improve manure management for other animals,LSMM:INC_MANAGEMENT_OTHER,TO DO," | 95% of manure from all other animals is treated. The manure treated is sent to the following pathways:
 |    37.5.% to Composting
 |    12.5% to Dry Lot
 |    25.0% to Daily Spread
 |    25.0% to Solid Storage"
1011,LSMM: Improve manure management for poultry,LSMM:INC_MANAGEMENT_POULTRY,TO DO," | 95% of manure from poultry (chickens) and pigs is treated. The manure treated is sent to the following pathways:
 |    100% to Poultry Management"
1012,LSMM: Increase biogas capture at anaerobic decomposition facilities,LSMM:INC_CAPTURE_BIOGAS,TO DO,85% of Biogas captured at manure treated at Anaerobic Treatment facilities
1013,LSMM: Manure management bundle,LSMM:BUNDLE_INC_MANAGEMENT,OMIT,All livestock manure management transformations in addition to increased biogas collection
1014,LVST: All transformations,LVST:ALL,IGNORE,
1015,LVST: Increase livestock productivity,LVST:INC_PRODUCTIVITY,TO DO,Increase inferred livestock carrying capacity by 20%
